target,split,model,train_rows,test_rows,train_actives,test_actives,ap,roc_auc,ef_0_5pct,ef_1pct,ef_2pct,bedroc20,seed
PKM2,random,logreg_balanced,64000,16000,437,109,0.04418462108154575,0.81120061612395,11.009174311926605,7.339449541284403,10.55045871559633,0.37462184047116054,67
PKM2,random,random_forest_balanced,64000,16000,437,109,0.22190946351712815,0.7387653504176099,53.211009174311926,33.944954128440365,20.183486238532108,0.474353961423896,67
PKM2,random,lightgbm_weighted,64000,16000,437,109,0.3328286893404513,0.8311276534695364,69.72477064220183,42.20183486238532,23.394495412844034,0.555274389422456,67
PKM2,random,xgboost_weighted,64000,16000,437,109,0.24852968856602897,0.8429715279377457,58.715596330275226,40.366972477064216,22.477064220183486,0.5232280002018824,67
PKM2,scaffold,logreg_balanced,64000,16000,473,73,0.023963123236799153,0.7743832950163889,2.73972602739726,1.36986301369863,6.8493150684931505,0.2723481132314508,67
PKM2,scaffold,random_forest_balanced,64000,16000,473,73,0.03962111760170963,0.6942798091635554,24.65753424657534,20.547945205479454,12.32876712328767,0.33934084171063944,67
PKM2,scaffold,lightgbm_weighted,64000,16000,473,73,0.14394094455877654,0.7671740328949462,46.57534246575342,27.397260273972602,17.123287671232877,0.4323880980532622,67
PKM2,scaffold,xgboost_weighted,64000,16000,473,73,0.13543599190463693,0.7938341972922691,43.83561643835616,28.767123287671232,17.123287671232877,0.42716900767276933,67
MAPK1,random,logreg_balanced,49592,12398,242,60,0.014184893140285204,0.7292382611984656,6.665591397849462,4.999193548387097,4.165994623655913,0.19698720059303415,67
MAPK1,random,random_forest_balanced,49592,12398,242,60,0.01230291697342186,0.6242698708596747,6.665591397849462,4.999193548387097,6.665591397849462,0.17341629585746526,67
MAPK1,random,lightgbm_weighted,49592,12398,242,60,0.017459349581003664,0.7166004754957586,6.665591397849462,3.332795698924731,7.4987903225806445,0.22372112652198636,67
MAPK1,random,xgboost_weighted,49592,12398,242,60,0.028399142243724494,0.7447965634624737,9.998387096774193,4.999193548387097,4.999193548387097,0.2058565621418566,67
MAPK1,scaffold,logreg_balanced,49592,12398,249,53,0.01729319974374571,0.7579823777100194,0.0,9.432440657334144,7.545952525867316,0.26191540923321543,67
MAPK1,scaffold,random_forest_balanced,49592,12398,249,53,0.037460195870248424,0.6548675271479554,11.318928788800974,11.318928788800974,7.545952525867316,0.19188304082332605,67
MAPK1,scaffold,lightgbm_weighted,49592,12398,249,53,0.06143553379825847,0.7328763459348755,18.86488131466829,15.091905051734631,10.37568472306756,0.2914992324922735,67
MAPK1,scaffold,xgboost_weighted,49592,12398,249,53,0.0598250159929784,0.7682752928769573,22.63785757760195,15.091905051734631,10.37568472306756,0.3007661210548049,67
PKM2,random,logreg_balanced,64000,16000,437,109,0.042263164321213305,0.864400482876754,3.6697247706422016,6.422018348623853,6.880733944954128,0.3211894936403525,101
PKM2,random,random_forest_balanced,64000,16000,437,109,0.2936548080542051,0.792308727056282,64.22018348623853,41.28440366972477,22.935779816513758,0.535083697711737,101
PKM2,random,lightgbm_weighted,64000,16000,437,109,0.36653263251412094,0.8750184023153144,73.39449541284404,45.871559633027516,26.605504587155963,0.6076547837443985,101
PKM2,random,xgboost_weighted,64000,16000,437,109,0.2874886343549982,0.8661333314858852,58.715596330275226,37.61467889908256,23.85321100917431,0.5470029431959521,101
PKM2,scaffold,logreg_balanced,64000,16000,471,75,0.024021393464701363,0.7564408163265306,10.666666666666666,10.666666666666666,11.333333333333334,0.3045647782112215,101
PKM2,scaffold,random_forest_balanced,64000,16000,471,75,0.03575817991173896,0.7092910518053376,21.333333333333332,18.666666666666668,12.0,0.3185018234814834,101
PKM2,scaffold,lightgbm_weighted,64000,16000,471,75,0.12328203178088154,0.7566208267922554,42.666666666666664,25.333333333333332,14.666666666666666,0.3823299175977859,101
PKM2,scaffold,xgboost_weighted,64000,16000,471,75,0.19413022909690683,0.7626444793301936,45.333333333333336,30.666666666666668,16.666666666666668,0.4154924454909357,101
